FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC8,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
206,{BB3C77B3-67C7-4ABC-A749-7777CDB3C9C5},0.000000000000000,1432419.000000000000000,5796.921812360000300,"MI,CN",04090002,Lake St. Clair,103482.925040999990000,99.957505189700001,103439.054242000000000,42.595712928799998,-82.750877028100007,HU8_220
207,{34237FD4-D8C2-47F4-8989-29AC92CA256D},0.000000000000000,510130.000000000000000,2064.468784270000000,MI,04090003,Clinton,206446.878457999990000,100.000000000000000,206446.878449000010000,42.696538362100000,-83.106344562299995,HU8_219
208,{2E89307A-1EB6-4A2F-AEB3-F7061A59D804},0.000000000000000,567862.000000000000000,2298.104706359999900,"MI,CN",04090004,Detroit,170976.116677999990000,99.904495772399997,170812.836859000000000,42.354465598799997,-83.308467444700000,HU8_221
209,{F3A5D22E-1E23-4C00-AD7B-2096C9DA28A0},0.000000000000000,587679.000000000000000,2378.305027540000100,MI,04090005,Huron,237830.504951999990000,100.000000000000000,237830.503879000000000,42.405863541800002,-83.752190973500007,HU8_199
210,{A1992533-2245-4D2B-B5AA-8868BE4B83CE},0.000000000000000,680343.000000000000000,2753.308737209999900,MI,04100002,Raisin,275330.873397000020000,100.000000000000000,275330.873566999970000,41.978912032600000,-83.974231357400001,HU8_200
211,{9518B2C0-766D-44A0-A156-DCA8E4551527},0.000000000000000,673281.000000000000000,2724.731414710000100,MI,04030106,Brule,272473.141428000000000,100.000000000000000,272473.141470999980000,46.166667404999998,-88.622283229100006,HU8_160
212,{096AF2F4-74CA-4B75-BF3C-196A1B348AEB},0.000000000000000,1467448.000000000000000,5938.679858010000300,"MI,WI",04030108,Menominee,593867.986247000050000,100.000000000000000,593867.985883999970000,45.697635431899997,-88.077278413100004,HU8_163
213,{CC34DEC3-FD7D-4632-A6AA-B424A1B015A7},0.000000000000000,507893.000000000000000,2055.414877459999800,MN,04010202,Cloquet,205541.487727000000000,100.000000000000000,205541.487461999990000,47.143857895399996,-92.039172548099998,HU8_137
214,{A701CE11-A4CD-4FC1-ACFF-B9BCE7FF2D6E},0.000000000000000,1229412.000000000000000,4975.361880120000000,MN,07010101,Mississippi Headwaters,497536.191770999980000,100.000000000000000,497536.188188000000000,47.423739715000004,-94.502278962700004,HU8_331
215,{196D8FDE-510E-45B8-BD8B-1C3E4C46E4B8},0.000000000000000,858393.000000000000000,3473.870662469999800,MN,07010102,Leech Lake,347387.066712000000000,100.000000000000000,347387.066273999980000,47.145283387900001,-94.399218160900006,HU8_332
216,{091E870E-1023-4B93-A8C8-0ADA0845B9DF},0.000000000000000,1333799.000000000000000,5397.809285590000400,MN,07010103,Prairie-Willow,539780.925751999950000,100.000000000000000,539780.929419999940000,47.079181853500003,-93.374283644499997,HU8_138
217,{E5D7DD34-541F-43C3-96F1-A9F0D646F0E2},0.000000000000000,1076947.000000000000000,4358.346013819999800,MN,07010104,Elk-Nokasippi,435834.603482000010000,100.000000000000000,435834.600770000020000,46.331935253300003,-94.006874839299996,HU8_333
218,{1D225BB0-98B2-4F53-9278-1F19458FF578},0.000000000000000,501169.000000000000000,2028.204936860000100,MN,07010105,Pine,202820.493728000000000,100.000000000000000,202820.493569999990000,46.752739175099997,-94.198496659900002,HU8_334
219,{0A866266-502C-4F21-83F0-AA9BEDC83ADD},0.000000000000000,1269298.000000000000000,5136.780202199999600,MN,07010106,Crow Wing,513678.017557999990000,100.000000000000000,513678.019623000000000,46.720958157900000,-94.861752644000006,HU8_335
220,{2C2D98DE-A7D5-48E4-B8F9-AA3B96953345},0.000000000000000,572103.000000000000000,2315.270623649999800,MN,07010107,Redeye,231527.064044000000000,100.000000000000000,231527.062959000000000,46.447352187200003,-95.218772549199997,HU8_336
221,{966D14BD-FC33-44B8-A90D-A7846F74BF35},0.000000000000000,565163.000000000000000,2287.184478279999900,MN,07010108,Long Prairie,228718.448586000010000,100.000000000000000,228718.447840999990000,46.079006617399997,-95.045068959100007,HU8_337
222,{BC946D39-B8C0-4B53-A739-F2355ACD7016},0.000000000000000,656472.000000000000000,2656.707175919999800,MN,07010201,Platte-Spunk,265670.717429000010000,100.000000000000000,265670.717551000010000,45.850786299699998,-94.237871933600005,HU8_338
223,{E33FA94A-71E4-4E0E-8848-838F7059866D},0.000000000000000,666934.000000000000000,2699.044213629999800,MN,07010202,Sauk,269904.420329999990000,100.000000000000000,269904.421335000020000,45.657669517499997,-94.816798506599994,HU8_339
224,{BA4B94E2-F036-43D3-92B4-8CCD36CEBC65},0.000000000000000,717832.000000000000000,2905.025694920000200,MN,07010203,Clearwater-Elk,290502.570851000030000,100.000000000000000,290502.569490000020000,45.462139518599997,-93.954596341400006,HU8_340
225,{4104D63D-9F78-4CA0-A4DC-CA92C7D4150C},0.000000000000000,945259.000000000000000,3825.410994649999800,MN,07010204,Crow,382541.099644000000000,100.000000000000000,382541.099440000020000,45.233429691500000,-94.464361710199995,HU8_341
