WBIC,WiscID,Name.x,County,lat,long,Type,mg_average,ca_average,unit
1007200,423,North Neva Lake,Langlade ,45.27226816,-89.10046181,seepage,NA,NA,mg
1009800,426,Patterson Lake,Vilas ,45.89944863,-89.86346693,seepage,NA,NA,mg
1012000,428,Pine Lake (Hancock),Waushara ,44.13008866,-89.50988124,seepage,NA,NA,mg
1012500,430,Plainfield Lake,Waushara,44.20552876,-89.4717865,seepage,NA,NA,mg
101300,38,Bean's Lake,Waushara ,44.13763197,-89.2906228,seepage,NA,NA,mg
1015100,432,South Blue Lake,Oneida ,45.75816627,-89.70271015,seepage,NA,NA,mg
1015200,433,South Neva Lake - Staff Gage,Langlade ,45.26814,-89.10267,seepage,NA,NA,mg
101600,39,Bing Lake,Waushara,44.0569186,-89.4881776,seepage,NA,NA,mg
1019600,438,Squash Lake,Oneida ,45.86917574,-89.17571238,seepage,NA,NA,mg
1020300,439,Stormy Lake,Vilas ,46.05528874,-89.32177306,seepage,NA,NA,mg
102100,40,Bughs Lake,Waushara ,44.06916056,-89.26226249,seepage,NA,NA,mg
102600,42,Crooked Lake,Adams ,43.77049424,-89.60758008,seepage,NA,NA,mg
102700,43,Cuff Lake,Columbia ,43.60850066,-89.3032439,seepage,NA,NA,mg
102900,44,Deer Lake,Waushara ,44.04305832,-89.21679462,seepage,NA,NA,mg
103100,45,Twin Lakes,Marquette,43.90830818,-89.5854014,seepage,NA,NA,mg
103400,46,Fenners Lake,Adams ,43.86386597,-89.59829648,seepage,NA,NA,mg
103600,47,Goose Lake,Adams ,43.79776995,-89.63667192,seepage,NA,NA,mg
103900,49,Irogami Lake,Waushara ,44.06590828,-89.23238535,seepage,NA,NA,mg
103900,48,Irogami Lake,Waushara,44.0605336,-89.2367853,seepage,NA,NA,mg
104000,50,Jordon Lake,Adams ,43.74315826,-89.64718218,seepage,NA,NA,mg
104200,52,Kilby Lake,Marquette ,43.80372058,-89.35406181,seepage,NA,NA,mg
104600,53,Lucerne Lake,Waushara ,44.02402792,-89.20872596,seepage,NA,NA,mg
104700,54,Sharon Lake,Marquette ,43.97726295,-89.38345197,seepage,NA,NA,mg
104700,55,Sharon Lake,Marquette ,43.97726295,-89.38345197,seepage,NA,NA,mg
105200,56,Little Hills Lake,Waushara ,44.04569543,-89.21047952,seepage,NA,NA,mg
105800,57,Marl Lake,Waushara ,44.10928491,-89.38854788,seepage,NA,NA,mg
105800,58,Marl Lake,Waushara ,44.10928491,-89.38854788,seepage,NA,NA,mg
106500,59,Parker Lake,Adams ,43.77535183,-89.63501796,seepage,NA,NA,mg
106600,60,Patrick Lake,Adams,43.88691889,-89.6556799,seepage,NA,NA,mg
106600,61,Patrick Lake,Adams ,43.88618932,-89.65884741,seepage,NA,NA,mg
106900,62,Pleasant Lake,Waushara ,43.98497303,-89.55201905,seepage,NA,NA,mg
