Year,WBIC,level
1981,310500,844.0480416731262
1982,310500,860.5205222251631
1983,310500,871.3089841414784
1984,310500,893.2376680803256
1985,310500,904.4400100800922
1986,310500,913.6381578441577
1987,310500,895.0930911443661
1988,310500,866.9462888819766
1989,310500,843.721067692848
1990,310500,856.9899114809166
1991,310500,875.5353456353862
1992,310500,887.079023125595
1993,310500,895.9550272466737
1994,310500,886.9647782052908
1995,310500,900.3891240994353
1996,310500,911.9837655746322
1997,310500,902.2068267583841
1998,310500,885.6872416257957
1999,310500,875.0961708572946
2000,310500,882.5746171640591
2001,310500,882.1590350270525
2002,310500,892.267757613294
2003,310500,876.66020698181
2004,310500,881.1302530651238
2005,310500,862.5001459982584
2006,310500,854.1340976386045
2007,310500,835.2988525926803
2008,310500,823.2505949142582
2009,310500,817.0465154374427
2010,310500,827.7434942375791
2011,310500,833.0081753086013
2012,310500,809.7302830022309
2013,310500,821.6275757859868
2014,310500,836.3936493648471
2015,310500,850.1633228129739
1948,2500500,1000
1949,2500500,993.802317863689
1950,2500500,987.0239770103759
1951,2500500,1017.543482607034
1952,2500500,1005.5083664766015
1953,2500500,1001.734376170969
1954,2500500,1018.4782504535882
1955,2500500,1003.5914770548595
1956,2500500,997.3254908094686
1957,2500500,1004.1469604524092
1958,2500500,980.1302297651018
1959,2500500,986.0557978492626
1960,2500500,982.2034403956396
1961,2500500,981.0190473316077
1962,2500500,991.5528673864399
1963,2500500,975.4569547674731
1964,2500500,965.8071727990297
1965,2500500,987.9162843945562
1966,2500500,973.8979421911138
1967,2500500,970.906508771559
1968,2500500,1003.6407208322474
1969,2500500,984.097101640405
1970,2500500,1008.769449699967
1971,2500500,1020.906695891234
1972,2500500,1026.4186189964162
1973,2500500,1031.4664039880251
1974,2500500,1008.4771832127843
1975,2500500,1033.4543269464787
1976,2500500,994.5459911997265
1977,2500500,1018.9762389771961
1978,2500500,1028.0947277769621
1979,2500500,1036.772641718687
1980,2500500,1043.5663277612816
1981,2500500,1042.2782577747832
1982,2500500,1046.449297385414
1983,2500500,1048.6263500724394
1984,2500500,1053.3390442293703
1985,2500500,1065.5081578875781
1986,2500500,1079.9929207057305
1987,2500500,1054.0539031229637
1988,2500500,1025.396569528024
1989,2500500,1007.7394759621495
1990,2500500,1024.60506790419
1991,2500500,1054.4946188997576
1992,2500500,1048.3234886094342
1993,2500500,1063.8603152947258
1994,2500500,1070.5039700940356
1995,2500500,1095.7799585738876
1996,2500500,1099.3851085716515
1997,2500500,1098.7481803822664
1998,2500500,1098.1351278012037
1999,2500500,1098.9557702842678
2000,2500500,1090.2018720436631
2001,2500500,1099.7543977794242
2002,2500500,1130.0016487660982
2003,2500500,1114.799243878212
2004,2500500,1117.5072732225938
2005,2500500,1116.7065477507706
2006,2500500,1098.2411622862157
2007,2500500,1086.4582867223307
2008,2500500,1073.7642806966628
2009,2500500,1050.6181006319923
2010,2500500,1051.6010200180306
2011,2500500,1030.5258728817464
2012,2500500,1018.1976124205764
2013,2500500,1012.0302894862192
2014,2500500,1032.2150282592129
2015,2500500,1059.8649211919885
1948,1867300,1000
1949,1867300,986.2748630410167
1950,1867300,982.3862795446801
1951,1867300,1013.2607566306476
1952,1867300,999.734333897708
1953,1867300,995.7230493663793
1954,1867300,1017.7811555018756
1955,1867300,1006.085312691637
1956,1867300,990.0246943901246
1957,1867300,981.8328164764376
1958,1867300,960.8733523696866
1959,1867300,965.0271613917789
1960,1867300,967.1574459339257
1961,1867300,956.2835447885054
1962,1867300,962.491820950791
1963,1867300,942.0869163448572
1964,1867300,930.5459709978246
1965,1867300,949.7683468421717
1966,1867300,938.5752661544323
1967,1867300,939.5615172215721
1968,1867300,976.7329476200268
1969,1867300,958.6625155991621
1970,1867300,968.0506363967039
1971,1867300,974.998646737401
1972,1867300,986.0069400945058
1973,1867300,989.4761684920295
1974,1867300,974.6997703381248
1975,1867300,980.0649117851824
1976,1867300,935.636674784672
1977,1867300,960.4874356278257
1978,1867300,964.2229035965587
1979,1867300,962.9898830407966
1980,1867300,963.0699443366113
1981,1867300,966.6038560450521
1982,1867300,985.0111871662299
1983,1867300,999.1369910399699
1984,1867300,1008.832335088031
1985,1867300,1028.08742542251
1986,1867300,1037.4722673026035
1987,1867300,1019.5066201730224
1988,1867300,991.7514007539467
1989,1867300,980.9794744662295
1990,1867300,985.5396698639447
1991,1867300,1017.9275973809667
1992,1867300,1013.0897663683476
1993,1867300,1016.0231178315238
1994,1867300,1016.0080199418474
1995,1867300,1027.7160164940726
1996,1867300,1040.3915308958187
1997,1867300,1032.6883149007572
1998,1867300,1022.3201132855953
1999,1867300,1029.0465233140812
2000,1867300,1032.6775485472585
2001,1867300,1045.542087115227
2002,1867300,1072.7304761301007
2003,1867300,1057.5019299231546
2004,1867300,1075.40164275122
2005,1867300,1069.2950880556482
2006,1867300,1041.2469460943935
2007,1867300,1023.9236470535859
2008,1867300,1018.7725867692976
