dat$Date,dat$WBIC,2.5%,50%,97.5%
1990-03-13,1858200,2001.5348521016908,2056.1629303393206,2101.581862766597
1990-03-14,1858200,2007.407003658568,2062.0864348014275,2107.4550912061713
1990-03-15,1858200,2007.3975216714148,2062.0423532133623,2107.6132740206435
1990-03-16,1858200,2031.066668054014,2085.2027066996025,2131.4597504668345
1990-03-17,1858200,2040.5878447521882,2094.192906059561,2141.2383631294597
1990-03-18,1858200,2038.807921378921,2092.4989290277767,2139.6127745790036
1990-03-19,1858200,2037.727452166465,2091.363737519212,2138.6147522854894
1990-03-20,1858200,2036.6547278503424,2090.043819700689,2137.3759460384495
1990-03-21,1858200,2034.7298518780954,2088.0975234362413,2135.4111173938327
1990-03-22,1858200,2032.7363552778938,2086.2203441926467,2133.4885927790974
1990-03-23,1858200,2031.0193464896315,2084.39970978235,2131.7198247163346
1990-03-24,1858200,2029.46736624403,2083.0874825775486,2130.173930615969
1990-03-25,1858200,2027.7757598748237,2081.323042431083,2128.540614093121
1990-03-26,1858200,2025.7055295116268,2079.2209142959955,2126.594049728632
1990-03-27,1858200,2023.196354589993,2076.6130779204773,2124.1771561211576
1990-03-28,1858200,2021.0805718808558,2074.608729305549,2121.892093253555
1990-03-29,1858200,2019.215579078409,2072.465997958136,2120.1106252396526
1990-03-30,1858200,2017.3566905766597,2070.62725234724,2118.156494368787
1990-03-31,1858200,2015.5768820254057,2068.9738873242823,2116.3306764795248
1990-04-01,1858200,2013.6888708854685,2067.159541270492,2114.563792085281
1990-04-02,1858200,2011.8465667413907,2065.2844876693434,2112.6806779037015
1990-04-03,1858200,2016.4211437148128,2069.514826204383,2116.8582226013523
1990-04-04,1858200,2017.9801056370184,2070.986239167187,2118.5821546083653
1990-04-05,1858200,2016.1607602922795,2069.1665915347276,2116.7234745331475
1990-04-06,1858200,2014.3211102066894,2067.3927770385717,2114.9147747646766
1990-04-07,1858200,2012.9032558325382,2066.1125431905675,2113.4733627179126
1990-04-08,1858200,2010.9757774479344,2064.153484846722,2111.3502754738347
1990-04-09,1858200,2008.220500493651,2061.6272616638034,2108.979165497187
1990-04-10,1858200,2005.8510908786639,2059.2451873160803,2106.5342181026845
1990-04-11,1858200,2005.453182987772,2058.9513356355687,2106.1988471719064
1990-04-12,1858200,2003.920431191673,2057.474181374396,2104.591194919167
1990-04-13,1858200,2002.2467642101246,2055.849311382828,2102.916201615577
1990-04-14,1858200,2000.0903115857943,2053.7957976529165,2100.8089848680274
1990-04-15,1858200,1997.5290725869063,2051.175876123188,2098.3483719169963
1990-04-16,1858200,1995.503262600062,2049.1827063372803,2096.2657695901266
1990-04-17,1858200,1995.2730102050502,2048.881489837725,2095.9846618423144
1990-04-18,1858200,1996.0036990906706,2049.6235079243447,2096.83520629583
1990-04-19,1858200,1994.2549267746758,2047.8008815171934,2095.0392338808247
1990-04-20,1858200,1992.2135986028923,2045.692615653978,2092.783210270774
1990-04-21,1858200,1990.1989834363003,2043.4816253905556,2090.617498133191
1990-04-22,1858200,1988.5052235219591,2041.8148576759727,2088.964310790786
1990-04-23,1858200,1986.9626569133866,2040.3633126253062,2087.5003403138558
1990-04-24,1858200,1985.5738086215308,2038.9927995900714,2086.0549535669306
1990-04-25,1858200,1988.3919642666137,2041.9278220034553,2088.855232310967
1990-04-26,1858200,1996.3835047355637,2050.018507902194,2097.0596324131016
1990-04-27,1858200,2001.4468105797387,2055.2418788226187,2102.2599136635013
1990-04-28,1858200,2003.5061573563755,2057.46779639114,2104.2464030281476
1990-04-29,1858200,2019.9224945087362,2075.300880252445,2121.7146806671353
1990-04-30,1858200,2034.5148149624902,2090.3743345040625,2136.2209765442813
1990-05-01,1858200,2038.6711259979916,2094.1064066137337,2140.426991141695
1990-05-02,1858200,2040.2957168318435,2095.529729034709,2141.9139131661505
1990-05-03,1858200,2037.4353050015563,2092.8106880320256,2138.9176052744306
1990-05-04,1858200,2033.7195244066108,2089.106854764489,2135.2602304576812
1990-05-05,1858200,2030.7872485221533,2086.241208674768,2132.40958865786
1990-05-06,1858200,2028.7088282073412,2084.2067868080076,2130.367285986332
1990-05-07,1858200,2026.6617712061325,2082.0198186943962,2128.265627018659
1990-05-08,1858200,2024.1297285490675,2079.6358128633883,2125.9072820172305
1990-05-09,1858200,2021.0839810424727,2076.560470817395,2122.8750340465244
1990-05-10,1858200,2018.9888613262333,2074.5483260970386,2120.846644346848
1990-05-11,1858200,2024.9127545373894,2080.2408667503732,2126.720024268146
1990-05-12,1858200,2023.5902220569642,2078.97316560068,2125.312632837193
1990-05-13,1858200,2018.8565550172925,2074.206832120726,2120.524536756161
1990-05-14,1858200,2015.3511495514035,2070.523381872247,2116.8553144263115
1990-05-15,1858200,2013.5192195125926,2068.580580480188,2115.007440453174
1990-05-16,1858200,2025.9513087100695,2081.27766348364,2127.2170319376173
1990-05-17,1858200,2023.5260846898855,2078.5981087712225,2124.472763537461
1990-05-18,1858200,2027.0192874697918,2081.9924960817298,2127.6398573809156
1990-05-19,1858200,2025.0154681611616,2080.10889878136,2125.5755035732554
1990-05-20,1858200,2021.114547952002,2076.1120527394683,2121.754999950667
1990-05-21,1858200,2037.6466048616799,2093.7580931580887,2139.9301232739267
1990-05-22,1858200,2034.344499908696,2090.457889219846,2136.779055794872
1990-05-23,1858200,2033.5082927950486,2089.7242163373426,2135.9204432277897
1990-05-24,1858200,2033.8225280657161,2090.0031849765464,2136.226716033207
1990-05-25,1858200,2034.450775571796,2090.554585063808,2136.7836269421264
1990-05-26,1858200,2032.3505846560206,2088.571904998694,2134.700239053392
1990-05-27,1858200,2031.4201981686533,2087.5945666909975,2133.6925009778197
1990-05-28,1858200,2033.3677749272035,2089.4695581236474,2135.5282149125715
1990-05-29,1858200,2033.4456208847614,2089.594029005366,2135.573951082421
1990-05-30,1858200,2031.1641641040646,2087.3054921394105,2133.031935209857
1990-05-31,1858200,2028.795791145461,2084.915841882348,2130.645674451689
1990-06-01,1858200,2024.6847212266357,2081.078396409672,2126.6787389088477
1990-06-02,1858200,2019.7664495318427,2076.3544409040423,2121.5882381455413
1990-06-03,1858200,2014.6281626382913,2071.5028064420458,2116.801214354444
1990-06-04,1858200,2028.0528466945252,2085.6229189937853,2130.848942277333
1990-06-05,1858200,2043.241735275455,2099.7985195917227,2146.419527278898
1990-06-06,1858200,2041.198388083516,2097.5921678248583,2144.380803246476
1990-06-07,1858200,2042.1188289006407,2098.489485964832,2145.4795036487362
1990-06-08,1858200,2040.2859857870221,2096.6195909402427,2143.6339216434403
1990-06-09,1858200,2037.2501987539238,2093.635001941733,2140.54564992906
1990-06-10,1858200,2034.312075756895,2090.6859722700856,2137.6464548268964
1990-06-11,1858200,2031.2939596900126,2087.766581855135,2134.547881811478
1990-06-12,1858200,2026.5939623789852,2082.8547898885545,2129.7938356904533
1990-06-13,1858200,2033.172626967883,2089.3466885825374,2136.247642711698
1990-06-14,1858200,2034.3994818885817,2090.5856544354674,2137.5012057182053
1990-06-15,1858200,2035.5788980512868,2091.7146816787395,2138.668959361722
1990-06-16,1858200,2034.30025515546,2090.3728250060203,2137.3836842815167
1990-06-17,1858200,2033.8047903955635,2089.7951940612274,2136.877877404364
1990-06-18,1858200,2049.6345319148786,2105.9382493960647,2152.7119821705023
1990-06-19,1858200,2053.2353944433976,2109.612361551831,2156.6045103931747
1990-06-20,1858200,2051.1945674549484,2107.604395452871,2154.651186591177
1990-06-21,1858200,2049.082869669976,2105.668977278182,2152.541972560782
1990-06-22,1858200,2044.778018406011,2101.4200829326564,2148.1210432083913
1990-06-23,1858200,2042.7089296016095,2099.330979545739,2146.2011544282477
1990-06-24,1858200,2044.7267506479113,2101.15194880084,2148.2323329545793
1990-06-25,1858200,2043.6289813771832,2100.086976926615,2147.087563432488
1990-06-26,1858200,2039.375292412371,2095.9498145523803,2143.2445842981715
1990-06-27,1858200,2043.6959556228458,2100.050482667886,2147.75682879874
1990-06-28,1858200,2053.8377481131024,2111.06581045772,2158.9850415073797
1990-06-29,1858200,2055.984484804128,2113.318793600647,2160.9515303520657
1990-06-30,1858200,2064.781674956463,2121.6996295241315,2169.1011728978538
1990-07-01,1858200,2060.911326404105,2117.464710297975,2165.019962401657
1990-07-02,1858200,2058.619784942187,2115.136311254176,2162.7161254645926
1990-07-03,1858200,2054.9489489531175,2111.6785928124054,2159.099716173876
1990-07-04,1858200,2050.462528056387,2106.679538416263,2154.1847579142213
1990-07-05,1858200,2045.3665885330179,2101.0883616278543,2149.0627904882526
1990-07-06,1858200,2039.0550817751046,2094.866346517504,2142.95259780423
