WiscID,Name,County,MinYr,MaxYr,NumOb,NumYr,source,LakeType,WIBIC,lagoslakeid,lat,long
405,Lake Huron,Waushara,1973,2015,1329,23,USGS,seepage,994900,4269,44.19563889,-89.4174722
406,Huron Lake,Waushara,1973,2015,21,20,Waushara,seepage,994900,4269,44.19343292,-89.41796271
407,Laura Lake,Vilas,1974,1984,4,4,DNR Historical Data,seepage,995200,3255,46.05704884,-89.43813932
408,Lawrence Lake,Langlade,1967,1981,3,3,DNR Historical Data,seepage,997300,4488,45.25956099,-88.98283809
409,Little Bass Lake,Marathon,1978,1981,2,2,DNR Historical Data,seepage,998100,54765,44.72466829,-89.44304927
410,Little Frog Lake,Marathon,1981,1995,2,2,DNR Historical Data,seepage,999200,935,44.76218296,-89.36911359
415,Long Lake,Langlade,1978,1981,3,3,DNR Historical Data,seepage,1000900,535,45.29851931,-89.20491337
416,Long Lake,Lincoln,1974,1998,8,4,DNR Historical Data,seepage,1001000,3860,45.4298374,-89.47729304
417,Lucy Lake,Vilas,1970,1981,2,2,DNR Historical Data,seepage,1002600,116740,45.90262437,-89.83980362
418,McDonald Lake,Vilas,1929,1984,6,6,DNR Historical Data,seepage,1003700,1150,45.90561919,-89.39828044
419,Mildred Lake,Oneida,1940,1981,3,3,DNR Historical Data,seepage,1004600,4177,45.67551707,-89.53088879
